word,spell,type,meaning
ฮาห์เนียม,haaM niiamM,,[alternate spelling of ฮาห์เนี่ยม]
ฮาห์เนี่ยม,haaM niiamF,noun,"[chemistry] Hahnium, Ha, atomic number 105"
ฮ่าฮ่าฮ่า ,haaF haaF haaF,"interjection, onomatopoeia","[onomatopoeia] sound of a loud, boisterous laugh: a sound of gaffaw"
ฮิญาบ,hiH yaapF,noun,"Hijab, the Muslim cloak worn by women"
ฮิด,hitH,"noun, loanword, English","[Thai transcription of foreign loan word] hit; highly popular song, e.g."
ฮิเดกิ,hiH daehM giL,"proper noun, loanword, Japanese","Hideki, 秀樹, [a Japanese given name]"
ฮิต ,hitH,"noun, loanword, English",[Thai transcription of the foreign loanword] hit; a big hit; a trend
ฮินดู,hinM duuM,"noun, adjective, formal, loanword, Pali",Hindu
ฮิปปี,hipH bpeeM,"noun, loanword, English","[Thai transcription of the foreign loanword] ""hippy""; ""hippie"""
ฮิปปี้,hipH bpeeF,"noun, loanword, English",[Thai transcription of the foreign loanword] hippie
ฮิปโป,hipH bpo:hM,"noun, loanword, English",[Thai transcription of the foreign loanword] hippo; hippopotamus
ฮิปโปโปเตมัส,hipH bpo:hM bpo:hM dtaehM matH,"noun, loanword, English",[Thai transcription of the foreign loanword] hippopotamus
ฮิปฮอป,hipH haawpF,"noun, colloquial, loanword, English",Hip-Hop
ฮิพฮอพ,hipH hawpH,,[alternate spelling of ฮิพฮ็อพ]
ฮิพฮ็อพ,hipH hawpH,noun,[Thai transcription of foreign loan word] hip hop; hip hop music
ฮิลล์,hinM,"noun, loanword, English",[Thai transcription of the foreign loanword] hill
ฮิลลารี,hinM laaM reeM,proper noun,Hillary; Hilary [an English given name]
ฮิลลารี คลินตัน,hinM laaM reeM khlinM dtanM,"proper noun, person",Hillary Clinton
ฮิลารี,hiH laaM reeM,,[alternate spelling of ฮิลลารี]
ฮิ้ว,hiuH,"verb, colloquial","to tease, make fun of (in a gentle way)"
ฮิวโก้,hiuM go:hF,"proper noun, loanword, English",Hugo [an English given name]
ฮิวจ์,hiuM,"proper noun, loanword, English",Hugh [an English given name]
ฮิวเล็ตต์แพ็กการ์ด,hiuM letH phaekH gaadL,"proper noun, loanword, English",[Thai transcription of the foreign loanword] Hewlett Packard®
ฮิ้วว์,hiuH,interjection,"[onomatopoeia] Ha, ha."
ฮิวสตัน,hiuM saL dtanM,proper noun,"Houston, a city in เท็กซัส"
ฮิสทีเรีย,hitH theeM riiaM,"noun, loanword, English",[Thai transcription of the foreign loanword] hysteria
ฮิฮิ,hiH hiH,interjection,[sound of laughter]
ฮีตเตอร์,heetF dtuuhrM,noun,[Thai transcription of foreign loanword] heater
ฮีบรู,heepF ruuM,adjective,[Thai transcription of the foreign loanword] Hebrew
proper noun,[book of the New Testament] Hebrews,,
ฮีโมฟิเลีย,heeM mo:hM fiH liiaM,"noun, formal, loanword, English",[Thai transcription of the foreign loanword] hemophilia
ฮีโร่,heeM ro:hF,"noun, loanword, English",[Thai transcription of the foreign loanword] hero
ฮีโระฌีมะ ,heeM roH cheeM maH,"proper noun, geographical","Hiroshima, a city in Japan, destroyed in 1945 by the first hostile detonation of an atomic weapon"
ฮีเลียม,heeM liiamM,,[alternate spelling of ฮีเลี่ยม]
ฮีเลี่ยม,heeM liiamF,"noun, loanword, English","[chemistry] Helium, He, atomic number 2"
ฮึ ,heuH,"interjection, colloquial","[used as an exclamation of surprise, bewilderment, disbelief, contempt or interrogation] Huh?"
ฮึก ,heukH,adjective,"[usually followed by เหิม  (bold, insolent)] impetuous; bold; daring; spirited; elated; passionate; violent; exultant; boisterous"
ฮึกห้าว,heukH haaoF,adjective,bellicose; belligerent; combative
ฮึกเหิม ,heukH heermR,"adjective, phrase",[positive connotation] [is] spirited; lively; active; animated; energetic; mettlesome; vivacious
ฮึกเหิม,heukH heermR,"adjective, phrase",[negative connotation] [is] impetuous; rash; hasty; impulsive; unthinking
ฮึด,heutH,verb,to resolve to proceed; to make up one's mind to fight
ฮึดฮัด,heutH hatH,adjective,[is] resentful; disgruntled
ฮึ่ม ,heumF,"interjection, colloquial",[expressing anger] Darn!
adjective,[is] dissatisfied; discontented,,
ฮื่ม,heuumF,"interjection, loanword, English",[Thai transcription of foreign loan word] hmmm
ฮืมม์,heuumM,particle,[discourse particle indicating agreement]
ฮือ,heuuM,"interjection, onomatopoeia","[the sound of moaning, grieving, crying, weeping, or lamenting]"
"interjection, onomatopoeia","[ฮือ ๆ] [the sound of moaning, grieving, crying, weeping, or lamenting]",,
verb,[of a crowd] to rush in; to stampede; to swarm out,,
verb,to burn fiercely; to quickly become widespread,,
ฮือ ๆ,heuuM heuuM,"interjection, onomatopoeia","[ฮือ ๆ] [the sound of moaning, grieving, crying, weeping, or lamenting]"
ฮื่อ,heuuF,interjection,"[indicating affirmation] ""uh""; yes"
"interjection, onomatopoeia",[growling sound of a dog],,
ฮื้อ,heuuH,"interjection, onomatopoeia",a hurrumph; a sound of displeasure or disappointment
"noun, loanword, Chinese",fish,,
ฮือฮา,heuuM haaM,adjective,"[is] popular, famed, renowned, famous"
adjective,"[is] sensational, interesting, fascinating, make a sensation, cause a sensation, attract attention, 
attract interest, of interest",,
adjective,"[is] panicked, stampeded",,
ฮุก,hookH,noun,[Thai transcription of foreign loanword] hook
ฮุก,hookH,,[alternate pronunciation of ฮุก]
ฮุด,hootH,verb,to set on fire
ฮู่,huuF,verb,[Isaan dialect] to know
ฮูก ,huukF,noun,[นกฮูก] oriental barn owl
ฮูลิโอ,huuM liH o:hM,"proper noun, loanword, English",Julio [an English given name]
ฮูเวอร์,huuM wuuhrM,"proper noun, person",Hoover
เฮ ,haehM,"verb, intransitive, colloquial",to swiftly flock or gather together
"interjection, colloquial, onomatopoeia","[onomatopoeia] sound of approval or joy (as that received from the crowd, a meeting or gathering)",,
เฮฮา ,haehM haaM,"verb, adverb, phrase, colloquial, onomatopoeia","[onomatopoeia] usually preceded by สรวลเส  sound of a crowd expressing merry-making, glee, delight, elation, exhilaration, exuberance, exultation, joy, merriment, triumph"
เฮ้,hehH,"interjection, colloquial, loanword, English",[Thai transcription of the foreign loanword] Hey!
เฮกซา,haehkF saaM,"prefix, loanword, English",[Thai transcription of the foreign loanword] hexa-
เฮกซาฟลูออไรด์,haehkF saaM fluuM aawM raiM,noun,hexaflouride
เฮกโตกรัม,haehkF dto:hM gramM,,[alternate spelling of เฮ็กโตกรัม]
เฮ็กโตกรัม,hekH dto:hM gramM,classifier,[Thai transcription of the foreign loanword] hectogram
เฮกโตเมตร,haehkF dto:hM maehtF,noun,[Thai transcription of the foreign loanword] hectometer
เฮกโตลิตร,haehkF dto:hM litH,,[alternate spelling of เฮ็กโตลิตร]
เฮ็กโตลิตร,hekH dto:hM litH,noun,hectoliter
เฮคเตอร์,haehkF dtuuhrM,"proper noun, loanword, English",Hector [an English given name]
เฮง,haehngM,"noun, colloquial, loanword, Chinese",[แต้จิ๋ว  dialect] good fortune
เฮงซวย,haehngM suayM,"noun, phrase, colloquial, loanword, Chinese",[แต้จิ๋ว  dialect] [disparaging slang] good luck and bad luck; really unlucky; lousy; worthless
เฮ็ง,hengM,,[alternate spelling of เฮง]
เฮเซล,haehM saehnM,"proper noun, loanword, English",Hazel [an English given name]
เฮ็ด,hetH,verb,[Isaan dialect] ทำ 
เฮ็ดเวียก,hetH wiiakF,verb,[Isaan dialect] ทำงาน
เฮ็ดจ์,hetH,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] hedge
เฮ็ดจ์ฟันด์,hetH fanM,"noun, loanword, English","[finance] [Thai transcription of the foreign loanword, ""hedge fund""]"
เฮติ ,haehM dtiL,"proper noun, geographical",[ประเทศเฮติ] Haiti
เฮทเธอร์,haehtF thuuhrM,"proper noun, loanword, English",Heather [an English given name]
เฮ็นไต,henM dtaiM,"noun, loanword, Japanese","[Thai transcription of the foreign loanword] ""変態"" — ""へんたい"" — ""hentai""; commonly referring to pornographic Japanese-style comics"
เฮน์เนอะ,haehM nuhH,proper noun,Hannah
เฮนรี,haehnM reeM,"proper noun, loanword, English",Henry [an English given name]
เฮนรี่,haehnM reeF,"proper noun, loanword, English",Henry; Henri [an English given name]
เฮ้ย ,heeuyH,interjection,hey!
เฮย์เดน,haehM daehnM,"proper noun, loanword, English",Hayden [an English given name]
เฮโรอีน,haehM ro:hM eenM,"noun, loanword, English",[Thai transcription of the foreign loanword] heroin
เฮลซิงกิ ,haehnM singM giL,"proper noun, geographical","Helsinki, the capital city of ฟินแลนด์  (Finland)"
เฮลิคอปเตอร์,haehM liH khaawpF dtuuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] helicopter
เฮลี่ย์,haehM leeF,"proper noun, loanword, English",Haley [an English given name]
เฮเลน ,haehM laehnM,proper noun,Helen [an English given name]
เฮเลนา ,haehM laehM naaM,"proper noun, geographical","Helena, the capital city of มอนทาน่า (Montana)"
เฮเลน่า,haehM laehM naaF,"proper noun, loanword, English",Helena [an English given name]
เฮส์,haehM,"proper noun, person",Hayes
เฮ่อ ,huuhrF,"interjection, colloquial",form of เฮ้อ 
เฮ้อ ,huuhrH,interjection,"[expressing exhaustion, relief, etc.] Phew! (i.e. exhaling)"
เฮ้อ... ค่อยใจชื้นขึ้นหน่อย ,huuhrH khaawyF jaiM cheuunH kheunF naawyL,"example sentence, colloquial","""Phew! I feel quite relieved now."""
"เฮ้อ วันนี้ ""คนจน"" ในเมืองคงจะงง ๆ",huuhrH wanM neeH khohnM johnM naiM meuuangM khohngM jaL ngohngM,example sentence,"""Wow! Today the urban “poor” are probably confused!"""
เฮอร์คิวลีส,huuhrM khiuM leetF,"proper noun, loanword, Greek",[Thai transcription of the foreign loanword] Hercules
เฮอร์เซโกวีนา ,huuhrM saehM go:hM weeM naaM,"proper noun, geographical",Herzegovia
เฮอร์เบิร์ต,huuhrM beertL,"proper noun, person",Herbert [an English given name]
เฮอร์เบิร์ต ฮูเวอร์,huuhrM beertL huuM wuuhrM,"proper noun, person",Herbert Hoover
เฮอริเคน,huuhrM riH khaehnM,"noun, loanword, English",[Thai transcription of the foreign loanword] hurricane
เฮอะ ,huhH,"interjection, colloquial","""Bah!"""
เฮา,haoM,pronoun,[Isaan dialect] [1st person plural pronoun] we
เฮาเวิร์ด,haoM weertF,,[alternate spelling of โฮเวิร์ด]
เฮ้าส์,haaoH,"loanword, English",[Thai transcription of the foreign loanword] house
เฮิร์ต,heertF,"adjective, verb, colloquial, loanword, English",[Thai transcription of the foreign loanword] hurt
เฮิรตซ์,heertF,classifier,"[Thai transcription of the foreign loanword] ""hertz,"" a measure of frequency or periodicity"
เฮิร์ท,heertF,,[alternate spelling of เฮิร์ต]
เฮีย,hiiaM,"noun, loanword, Chinese",[แต้จิ๋ว  dialect] elder brother
เฮี้ย,hiiaH,,[alternate spelling of เหี้ย]
เฮี้ยน,hiianH,"adjective, colloquial, loanword, Chinese","[used of an evil spirit] manifesting the gruesome power (for example, haunting or zealously guarding a place and frightening people with scary apparitions)"
เฮี้ยบ,hiiapH,adjective,[is] strict; authoritarian; firm
เฮือก,heuuakF,adverb,violently; deeply; heavily
เฮือกสุดท้าย,heuuakF sootL thaaiH,noun,the last breath
แฮ่,haaeF,"interjection, colloquial, onomatopoeia",[see กรรรร ]
แฮ็ก,haekH,"verb, loanword, English",[Thai transcription of foreign loanword] hack (to hack a computer system)
แฮกเกอร์,haaekF guuhrM,"noun, loanword, English",[Thai transcription of foreign loanword] hacker
แฮงค์,haaengM,noun,[Thai transcription of foreign loanword] hangover
แฮ้งค์,haaengH,"noun, colloquial, loanword, English",[Thai transcription of foreign loanword] hangover
แฮนด์,haaenM,"noun, loanword, English",[Thai transcription of the foreign loanword] hand; hand; handlebar of a motorcycle
แฮนด์บอล,haaenM baawnM,"noun, loanword, English",[Thai transcription of the foreign loanword] handball
แฮนด์เมด,haaenM maehtF,"adjective, loanword, English",[Thai transcription of foreign loanword] handmade
แฮนดี้ไดร๊ฟ,haaenM deeF daiM rohfH,noun,[Thai transcription of] handydrive; USB thumb drive
แฮปปี้,haaepF bpeeF,adjective,[Thai transcription of foreign loanword] [is] happy
แฮปปี้เบิร์ธเดย์ ,haaepF bpeeF beertL daehM,"interjection, loanword, English",[Thai transcription of the foreign loanword] Happy Birthday
แฮม,haaemM,"noun, loanword, English",[Thai transcription of the foreign loanword] ham
noun,[หมูแฮม] ham,,
แฮ็ม,haemM,,[alternate spelling of แฮม]
แฮ่ม,haaemF,interjection,[onomatopoeia] Hmmm
แฮ่ม...ก็สมควรน่าอิจฉาอยู่,haaemF gaawF sohmR khuaanM naaF itL chaaR yuuL,example sentence,"""Hmm...This is truly something to be jealous of."""
แฮมเบอร์เกอร์,haaemM buuhrM guuhrM,,[alternate spelling of แอมเบอร์เกอร์ ]
แฮมสเตอร์,haaemM saL dtuuhrM,"loanword, English",[Thai transcription of the foreign loanword] hamster
แฮมิลตัน ,haaeM minM dtanM,"proper noun, geographical","Hamilton, the capital city of เบอร์มิวดา  (Bermuda)"
แฮร์ริส,haaeM ritH,"proper noun, loanword, English",Harris [an English given name]
แฮร์ริสเบอร์ก,haaeM ritH buuhrkL,,[alternate spelling of แฮร์ริสเบิร์ก ]
แฮร์ริสเบิร์ก ,haaeM ritH beerkL,"proper noun, geographical","Harrisburgh, the capital city of เพนซิลเวเนีย (Pennsylvania)"
แฮร์ริสัน,haaeM riH sanR,"proper noun, loanword, English",Harrison [an English given name]
แฮร์รี,haaeM reeM,"proper noun, person",Harry [an English given name]
แฮร์รี เอส. ทรูแมน,haaeM reeM aehtL thaH ruuM maaenM,"proper noun, person",Harry S. Truman
แฮร์รี่,haaeM reeF,"proper noun, loanword, English",Harry [an English given name]
แฮรี่ ,haaeM reeF,proper noun,Harry [an English given name]
แฮรี่พอตเตอร์,haaeM reeF phaawtF dtuuhrM,proper noun,[Thai transcription of foreign loan word] Harry Potter
แฮโลเจน,haaeM lo:hM jaehnM,"noun, loanword, English",[Thai transcription of foreign loanword] halogen
แฮะ,haeH,interjection,[spoken conversational marker indicating emphasis] indeed; totally
โฮ ,ho:hM,"adverb, onomatopoeia",[onomatopoeia] sound of crying or weeping out loud
โฮก,ho:hkF,onomatopoeia,[the sound of a snarling dog]
onomatopoeia,[the sound of slurping or sucking up of a liquid],,
verb,to snarl or growl,,
โฮง,ho:hngM,noun,[Northern dialect] room
โฮจิมินห์,ho:hM jiL minM,"noun, proper noun",Ho Chi Minh
proper noun,"[เมืองโฮจิมินห์] Ho Chi Minh City, a city in the south of Vietnam",,
โฮจิมินห์ซิตี,ho:hM jiL minM siH dteeM,proper noun,"Ho Chi Minh City, a city in the south of Vietnam"
โฮเชยา,ho:hM chaehM yaaM,proper noun,[book of the Old Testament] Hosea
โฮเต็ล ,ho:hM dtenM,"noun, loanword, English",[Thai transcription of the foreign loanword] hotel
โฮบาร์ต ,ho:hM baadL,"proper noun, geographical","Hobart, the capital city of Tasmania state, Australia"
โฮป,ho:hpF,"proper noun, loanword, English",Hope [an English given name]
โฮม,ho:hmM,"noun, loanword, English",[Thai transcription of the foreign loanword] home
โฮมเพจ,ho:hmM phaehtF,"proper noun, loanword, English","[Thai transcription of the foreign loanword, ""home page""]"
โฮเมอร์,ho:hM muuhrM,"proper noun, loanword, English",Homer [an English given name]
โฮราชิโอ,ho:hM raaM chiH o:hM,"proper noun, loanword, English",Horatio [an English given name]
โฮลดิ้ง,ho:hnM dingF,"noun, loanword, English","[Thai transcription of foreign term] ""holding"" or ""Holdings"""
โฮเวิร์ด,ho:hM weertF,"proper noun, loanword, English",Howard [an English given name]
โฮสเทล,ho:htF thaehnM,"noun, loanword, English",[Thai transcription of the foreign loanword] hostel
ไฮ,haiM,"adjective, loanword, English",[Thai transcription of the foreign loanword] high
"particle, loanword, English",[Thai transcription of the foreign loanword] hi; [an informal greeting],,
ไฮคลาส ,haiM khlaatF,"adjective, loanword","[Thai transcription of the foreign loanword, ""high class""]"
ไฮโซบัตโลว์คลาส,haiM so:hM batL lo:hM khlaatF,"adjective, phrase, colloquial, sarcastic-humorous, loanword, English","high-society but low-class"" — [Thai slang for] a socialite who is crude, vulgar, indecent, inelegant and unsophisticated [usually gay male jargon]"
ไฮเท็ค,haiM thekH,adjective,"[Thai transcription of the foreign loanword, ""high-tech"" or ""hi-tech""]"
ไฮสคูล ,haiM saL khuunM,"noun, loanword, English","[Thai transcription of the foreign loanword, ""high school""]"
ไฮซีซัน,haiM seeM sanM,"noun, loanword, English",[Thai transcription of foreign loanword] high season
ไฮโซ,haiM so:hM,"noun, loanword, English","[transliterally, an abbreviation ""high society""] high-class; classy"
ไฮดรอกไซด์,haiM daawnM ohkL saiM,"noun, loanword, English",[Thai transcription of the foreign loanword] hydroxide
ไฮดรอลิค,haiM draawM likH,,[alternate spelling of ไฮโดรลิก]
ไฮดรา,haiM draaM,noun,[Thai transcription of the foreign loanword] hydra
ไฮดราซีน,haiM daL raaM seenM,noun,"hydrazine, N2H4"
ไฮดี้,haiM deeF,"proper noun, loanword, English",Heidi [an English given name]
ไฮเด็น ,haiM denM,"noun, loanword, English",[Thai transcription of the foreign loanword] high density; high-density computer diskette
ไฮโดร,haiM dro:hM,"noun, loanword, English",[Thai transcription of the foreign loanword] hydro-
ไฮโดรคาร์บอน,haiM dro:hM khaaM baawnM,noun,"[Thai transcription of the foreign loanword, ""hydrocarbon""]"
ไฮโดรคลอริก,haiM dro:hM khlaawM rikH,"noun, loanword, English",hydrochloric
ไฮโดรคลอไรด์,haiM dro:hM khlaawM raiM,"noun, formal, loanword, English",[Thai transcription of the foreign loanword] hydrochloride
ไฮโดรเจน,haiM dro:hM jaehnM,"noun, loanword, English","[chemistry] Hydrogen, H, atomic number 1"
ไฮโดรไซยานิก,haiM dro:hM saiM yaaM nikH,"noun, loanword, English",[Thai transcription of the foreign loanword] hydrocyanic
ไฮโดรลิก,haiM dro:hM likH,"noun, loanword, English",[Thai transcription of the foreign loanword] hydraulic
ไฮโดรไลซิส,haiM dro:hM laiM sitH,noun,[Thai transcription of the foreign loanword] hydrolysis
ไฮไดรด์,haiM daiM raH,"noun, loanword, English",[Thai transcription of the foreign loanword] carbide
